year,no_adoption_accidents,no_adoption_fatalities,no_adoption_severe_injuries,no_adoption_minor_injuries,gradual_adoption_rate,gradual_accidents,gradual_fatalities,gradual_severe_injuries,gradual_minor_injuries,full_adoption_rate,full_accidents,full_fatalities,full_severe_injuries,full_minor_injuries
1,100000.0,1000.0,5000.0,30000.0,0.0,100000.0,1000.0,5000.0,30000.0,1.0,65000.0,200.0,1500.0,25290.0
2,100000.0,1000.0,5000.0,30000.0,0.042105,98526.3,966.3,4852.6,29801.7,1.0,65000.0,200.0,1500.0,25290.0
3,100000.0,1000.0,5000.0,30000.0,0.084211,97052.6,932.6,4705.3,29603.4,1.0,65000.0,200.0,1500.0,25290.0
4,100000.0,1000.0,5000.0,30000.0,0.126316,95578.9,898.9,4557.9,29405.1,1.0,65000.0,200.0,1500.0,25290.0
5,100000.0,1000.0,5000.0,30000.0,0.168421,94105.3,865.3,4410.5,29206.7,1.0,65000.0,200.0,1500.0,25290.0
6,100000.0,1000.0,5000.0,30000.0,0.210526,92631.6,831.6,4263.2,29008.4,1.0,65000.0,200.0,1500.0,25290.0
7,100000.0,1000.0,5000.0,30000.0,0.252632,91157.9,797.9,4115.8,28810.1,1.0,65000.0,200.0,1500.0,25290.0
8,100000.0,1000.0,5000.0,30000.0,0.294737,89684.2,764.2,3968.4,28611.8,1.0,65000.0,200.0,1500.0,25290.0
9,100000.0,1000.0,5000.0,30000.0,0.336842,88210.5,730.5,3821.1,28413.5,1.0,65000.0,200.0,1500.0,25290.0
10,100000.0,1000.0,5000.0,30000.0,0.378947,86736.8,696.8,3673.7,28215.2,1.0,65000.0,200.0,1500.0,25290.0
11,100000.0,1000.0,5000.0,30000.0,0.421053,85263.2,663.2,3526.3,28016.8,1.0,65000.0,200.0,1500.0,25290.0
12,100000.0,1000.0,5000.0,30000.0,0.463158,83789.5,629.5,3378.9,27818.5,1.0,65000.0,200.0,1500.0,25290.0
13,100000.0,1000.0,5000.0,30000.0,0.505263,82315.8,595.8,3231.6,27620.2,1.0,65000.0,200.0,1500.0,25290.0
14,100000.0,1000.0,5000.0,30000.0,0.547368,80842.1,562.1,3084.2,27421.9,1.0,65000.0,200.0,1500.0,25290.0
15,100000.0,1000.0,5000.0,30000.0,0.589474,79368.4,528.4,2936.8,27223.6,1.0,65000.0,200.0,1500.0,25290.0
16,100000.0,1000.0,5000.0,30000.0,0.631579,77894.7,494.7,2789.5,27025.3,1.0,65000.0,200.0,1500.0,25290.0
17,100000.0,1000.0,5000.0,30000.0,0.673684,76421.1,461.1,2642.1,26826.9,1.0,65000.0,200.0,1500.0,25290.0
18,100000.0,1000.0,5000.0,30000.0,0.715789,74947.4,427.4,2494.7,26628.6,1.0,65000.0,200.0,1500.0,25290.0
19,100000.0,1000.0,5000.0,30000.0,0.757895,73473.7,393.7,2347.4,26430.3,1.0,65000.0,200.0,1500.0,25290.0
20,100000.0,1000.0,5000.0,30000.0,0.8,72000.0,360.0,2200.0,26232.0,1.0,65000.0,200.0,1500.0,25290.0
